key_resp.corr,key_resp.rt,,,seqRT,,,,randRT
1,0.2620881,,1,0.2620881,,,1,0.3621315
1,0.2824031,,1,0.2824031,,,1,0.6445349
1,0.2741715,,1,0.2741715,,,1,0.4822305
1,0.2543365,,1,0.2543365,,,1,0.4019116
1,0.2741494,,1,0.2741494,,,1,0.4012483
1,0.2982065,,1,0.2982065,,,1,0.3889779
1,0.3798961,,1,0.3798961,,,1,0.504444
1,0.2713732,,1,0.2713732,,,1,0.5049277
1,0.6103663,,1,0.6103663,,,1,0.6106055
1,0.2655622,,1,0.2655622,,,1,0.3110004
1,0.4603333,,1,0.4603333,,,1,0.400542
1,0.2328791,,1,0.2328791,,,1,0.3052862
1,0.1452193,,1,0.1452193,,,1,0.4450365
1,0.27501,,1,0.27501,,,1,0.4094484
1,0.640972,,1,0.640972,,,1,0.7057619
1,0.4243345,,1,0.4243345,,,1,0.7244433
1,0.2849642,,1,0.2849642,,,1,0.787664
1,0.2720273,,1,0.2720273,,,1,0.438883
1,0.5770867,,1,0.5770867,,,1,0.5712912
1,0.0750558,,1,0.0750558,,,1,0.4633347
1,0.2386241,,1,0.2386241,,,1,0.4400991
1,0.2973286,,1,0.2973286,,,1,0.4910163
1,0.3244066,,1,0.3244066,,,1,0.7128888
1,0.2877253,,1,0.2877253,,,1,0.670377
1,0.2670429,,1,0.2670429,,,1,0.4907369
1,0.2382613,,1,0.2382613,,,1,0.464959
1,0.3176171,,1,0.3176171,,,1,0.8216843
1,0.2937872,,1,0.2937872,,,1,0.4284489
1,0.2767534,,1,0.2767534,,,1,0.3101523
1,0.3259034,,1,0.3259034,,,1,0.8504465
1,0.2970598,,1,0.2970598,,,1,0.3376247
1,0.2580626,,1,0.2580626,,,1,0.4176647
1,0.3706026,,1,0.3706026,,,1,0.4555799
1,0.2376767,,1,0.2376767,,,1,0.4931508
1,0.33948,,1,0.33948,,,1,0.4908373
1,0.256058,,1,0.256058,,,1,0.3867546
1,0.2382207,,1,0.2382207,,,1,0.3954718
